id,images
Bent_Over_Two-Dumbbell_Row_With_Palms_In,"Bent_Over_Two-Dumbbell_Row_With_Palms_In/0.jpg, Bent_Over_Two-Dumbbell_Row_With_Palms_In/1.jpg"
Bent_Press,"Bent_Press/0.jpg, Bent_Press/1.jpg"
Bicycling,"Bicycling/0.jpg, Bicycling/1.jpg"
Bicycling_Stationary,"Bicycling_Stationary/0.jpg, Bicycling_Stationary/1.jpg"
Board_Press,"Board_Press/0.jpg, Board_Press/1.jpg"
Body-Up,"Body-Up/0.jpg, Body-Up/1.jpg"
Bodyweight_Flyes,"Bodyweight_Flyes/0.jpg, Bodyweight_Flyes/1.jpg"
Bodyweight_Mid_Row,"Bodyweight_Mid_Row/0.jpg, Bodyweight_Mid_Row/1.jpg"
Bodyweight_Squat,"Bodyweight_Squat/0.jpg, Bodyweight_Squat/1.jpg"
Bodyweight_Walking_Lunge,"Bodyweight_Walking_Lunge/0.jpg, Bodyweight_Walking_Lunge/1.jpg"
Body_Tricep_Press,"Body_Tricep_Press/0.jpg, Body_Tricep_Press/1.jpg"
Bosu_Ball_Cable_Crunch_With_Side_Bends,"Bosu_Ball_Cable_Crunch_With_Side_Bends/0.jpg, Bosu_Ball_Cable_Crunch_With_Side_Bends/1.jpg"
Bottoms-Up_Clean_From_The_Hang_Position,"Bottoms-Up_Clean_From_The_Hang_Position/0.jpg, Bottoms-Up_Clean_From_The_Hang_Position/1.jpg"
Bottoms_Up,"Bottoms_Up/0.jpg, Bottoms_Up/1.jpg"
Box_Jump_Multiple_Response,"Box_Jump_Multiple_Response/0.jpg, Box_Jump_Multiple_Response/1.jpg"
Box_Skip,"Box_Skip/0.jpg, Box_Skip/1.jpg"
Box_Squat,"Box_Squat/0.jpg, Box_Squat/1.jpg"
Box_Squat_with_Bands,"Box_Squat_with_Bands/0.jpg, Box_Squat_with_Bands/1.jpg"
Box_Squat_with_Chains,"Box_Squat_with_Chains/0.jpg, Box_Squat_with_Chains/1.jpg"
Brachialis-SMR,"Brachialis-SMR/0.jpg, Brachialis-SMR/1.jpg"
Bradford_Rocky_Presses,"Bradford_Rocky_Presses/0.jpg, Bradford_Rocky_Presses/1.jpg"
Butt-Ups,"Butt-Ups/0.jpg, Butt-Ups/1.jpg"
Butterfly,"Butterfly/0.jpg, Butterfly/1.jpg"
Butt_Lift_Bridge,"Butt_Lift_Bridge/0.jpg, Butt_Lift_Bridge/1.jpg"
Cable_Chest_Press,"Cable_Chest_Press/0.jpg, Cable_Chest_Press/1.jpg"
Cable_Crossover,"Cable_Crossover/0.jpg, Cable_Crossover/1.jpg"
Cable_Crunch,"Cable_Crunch/0.jpg, Cable_Crunch/1.jpg"
Cable_Deadlifts,"Cable_Deadlifts/0.jpg, Cable_Deadlifts/1.jpg"
Cable_Hammer_Curls_-_Rope_Attachment,"Cable_Hammer_Curls_-_Rope_Attachment/0.jpg, Cable_Hammer_Curls_-_Rope_Attachment/1.jpg"
Cable_Hip_Adduction,"Cable_Hip_Adduction/0.jpg, Cable_Hip_Adduction/1.jpg"
Cable_Incline_Pushdown,"Cable_Incline_Pushdown/0.jpg, Cable_Incline_Pushdown/1.jpg"
Cable_Incline_Triceps_Extension,"Cable_Incline_Triceps_Extension/0.jpg, Cable_Incline_Triceps_Extension/1.jpg"
